month,product,acquirer_segment,deals_created,deals_won,pipeline_value_usd,avg_deal_size_usd,win_rate,avg_days_to_close,mom_growth
2025-01-01,Tap-to-Phone,Tier 1 Banks,6,2,3351897.62,871110.35,0.3587,118.3,0.0465
2025-01-01,Tap-to-Phone,Regional Banks,4,1,976558.84,423447.46,0.4234,66.5,0.0015
2025-01-01,Tap-to-Phone,ISOs,7,4,295925.81,98878.11,0.5725,38.1,0.0178
2025-01-01,Tap-to-Phone,Fintechs,5,2,546875.0,218740.85,0.5,70.5,-0.0249
2025-01-01,Tokenization Suite,Tier 1 Banks,8,2,5302346.64,1019311.64,0.3498,107.3,0.0366
2025-01-01,Tokenization Suite,Regional Banks,16,7,4742381.08,534262.5,0.4452,83.9,0.0118
2025-01-01,Tokenization Suite,ISOs,8,4,404365.69,119876.7,0.5784,49.2,-0.0063
2025-01-01,Tokenization Suite,Fintechs,10,5,1312015.76,267542.06,0.5096,72.0,0.0329
2025-01-01,Acceptance API,Tier 1 Banks,6,1,2877734.91,710732.79,0.3252,132.5,0.0217
2025-01-01,Acceptance API,Regional Banks,6,2,1329793.94,394946.31,0.4388,83.7,0.0415
2025-01-01,Acceptance API,ISOs,4,2,154498.2,83823.74,0.5392,38.4,0.0607
2025-01-01,Acceptance API,Fintechs,4,1,391278.09,181276.0,0.4604,74.9,0.0872
2025-01-01,Visa Acceptance Console,Tier 1 Banks,4,1,2367066.53,884859.14,0.3312,108.1,-0.0128
2025-01-01,Visa Acceptance Console,Regional Banks,8,3,2170785.12,486619.83,0.4424,95.3,-0.0345
2025-01-01,Visa Acceptance Console,ISOs,3,1,142204.72,99324.45,0.5228,42.5,0.0483
2025-01-01,Visa Acceptance Console,Fintechs,11,5,1323226.28,243664.91,0.5063,76.7,-0.0091
2025-02-01,Tap-to-Phone,Tier 1 Banks,11,3,5854481.26,789498.78,0.3259,122.2,0.0105
2025-02-01,Tap-to-Phone,Regional Banks,10,4,2474461.45,447588.0,0.4472,100.4,0.0578
2025-02-01,Tap-to-Phone,ISOs,7,4,295334.12,100571.8,0.5805,46.9,0.0354
2025-02-01,Tap-to-Phone,Fintechs,8,4,876663.75,221349.28,0.5049,73.3,0.0087
2025-02-01,Tokenization Suite,Tier 1 Banks,13,4,8742795.85,1054576.47,0.3623,119.1,0.0689
2025-02-01,Tokenization Suite,Regional Banks,8,3,2381538.98,544408.17,0.4532,92.7,0.0228
2025-02-01,Tokenization Suite,ISOs,12,6,627122.91,115277.78,0.5467,48.9,0.0262
2025-02-01,Tokenization Suite,Fintechs,7,3,919735.67,256313.19,0.4874,69.5,0.0241
2025-02-01,Acceptance API,Tier 1 Banks,8,2,4046775.24,774410.55,0.3468,112.2,-0.0229
2025-02-01,Acceptance API,Regional Banks,4,1,882619.4,368848.81,0.4018,93.4,-0.0192
2025-02-01,Acceptance API,ISOs,3,1,118638.33,80626.07,0.5095,53.3,0.04
